judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Gregory R Gilbert,Supreme Court Justice,,2017-01-01,2030-12-31,Oswego County,Oswego County Supreme Court,2017,,,,,,
Allison Mcgahay,Supreme Court Justice,,2023-01-01,2036-12-31,Essex County,Warren County Supreme Ct(M-B),2023,,,,,,
Claudia Lanzetta,Supreme Court Justice,,2025-01-01,2038-12-31,Queens County,Supreme Ct-Civil,2025,,,,,,
Emilio L Colaiacovo,Supreme Court Justice,,2016-01-01,2029-12-31,Erie County,Erie County Supreme Court,2016,,,,,,
Lisa S Ottley,Supreme Court Justice,"SUP CT JUS, DST 2 AT",2019-01-01,2032-12-31,Kings County,Kings County Supreme Court,2019,,,,,,
Robert E Antonacci Ii,Supreme Court Justice,,2020-01-01,2033-12-31,Onondaga County,Onondaga County Supreme Court,2020,,,,,,
Veronica Guerrero,Court of Claims Judge,,2024-10-01,2032-07-31,Bronx County,Queens County Supreme Court,2024,,,,,,
Sarika Kapoor,Court of Claims Judge,SUP CT JUSTICE,2022-06-02,2026-06-30,Nassau County,Nassau County Supreme Court,2022,,,,,,
Jeffrey S Sunshine,Supreme Court Justice,,2025-01-01,2025-12-31,Kings County,Kings County Supreme Court,2011,,,,,,
James E WalshJr,Supreme Court Justice,,2022-01-01,2035-12-31,Monroe County,Monroe County Supreme Court,2022,,,,,,
Christie L Dalessio,Supreme Court Justice,,2022-01-01,2035-12-31,Westchester County,Rockland County Supreme Court,2022,,,,,,
Amy Puerto,Supreme Court Justice,,2023-01-01,2036-12-31,Rockland County,Rockland County Supreme Court,2023,,,,,,
Alicia M Gerez,Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2026-06-30,Bronx County,Bronx County Supreme Court,2021,,,,,,
Charles A Schiano Jr,Supreme Court Justice,,2017-01-01,2030-12-31,Monroe County,Monroe County Supreme Court,2017,,,,,,
Keri Fiore,Supreme Court Justice,,2023-01-01,2036-12-31,Westchester County,Westchester County Supreme Ct,2023,,,,,,
Cheryl Insinga,Supreme Court Justice,,2024-01-01,2037-12-31,Broome County,Broome County Supreme Court,2024,,,,,,
Richard Ambro,Supreme Court Justice,,2013-01-01,2026-12-31,Suffolk County,Suffolk County Supreme Court,2013,,,,,,SUFF/SJ/COUNTY
Gerald J Whalen,Supreme Court Justice,"PRES JUS, AP DIV",2020-01-01,2026-12-31,Erie County,Appellate Div 4th Dept/Chamber,2006,,,,,,
Gordon J Cuffy,Court of Claims Judge,SUP CT JUSTICE,2017-06-19,2024-03-31,Onondaga County,Onondaga County Supreme Court,2017,,,,,,
Michael Siragusa,Court of Claims Judge,SUP CT JUSTICE,2023-01-01,2031-12-31,Erie County,Erie County Supreme Court,2022,,,,,,
Juan M Merchan,Court of Claims Judge,SUP CT JUSTICE,2018-08-27,2027-08-26,New York County,New York County Supreme Ct/CRM,2009,,,,,,
Michele R Titus,Supreme Court Justice,,2022-01-01,2035-12-31,Queens County,Queens County Supreme Court,2022,,,,,,
Christopher Modelewski,Supreme Court Justice,,2022-01-01,2031-12-31,Suffolk County,Suffolk County Supreme Court,2022,,,,,,
April A Newbauer,Court of Claims Judge,SUP CT JUSTICE,2019-04-29,2028-04-28,New York County,New York County Supreme Ct/CRM,2012,,,,,,
Michael A Jr Gajdos,Supreme Court Justice,,2019-01-01,2032-12-31,Suffolk County,Suffolk County Supreme Court,2019,,,,,,
Kimberly A Oconnor,Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,Albany County,Albany County Supreme Court,2006,,,,,,
Barbara R Kapnick,,"ASC JUS, AP DIV, TPCT",,,New York County,Appellate Division - 1st Dept,2002,,,"ASC JUS, AP DIV, TPCT",2024-01-01,2029-12-31,
Grace M Hanlon,Supreme Court Justice,,2022-01-01,2034-12-31,Erie County,Erie County Supreme Court,2022,,,,,,
Francesca E Connolly,Supreme Court Justice,"ASC JUS, AP DIV",2024-01-01,2028-12-31,Westchester County,Appellate Div 2nd Dept/Chamber,2009,,,,,,
Tracey A Bannister,Supreme Court Justice,"ASC JUS, AP DIV",2023-01-01,2036-12-31,Erie County,Erie County Supreme Court,2009,,,,,,
Thomas D Buchanan,Supreme Court Justice,,2013-01-01,2026-12-31,Schenectady County,Schenectady County Supreme Ct,2013,,,,,,
Karina E Alomar,Supreme Court Justice,,2021-01-01,2034-12-31,Queens County,Queens County Supreme Court,2021,,,,,,
Debra A James,,,,,New York County,New York County Supreme Court,2014,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Judith Reeves Mcmahon,Supreme Court Justice,,2023-01-01,2025-12-31,Richmond County,New York County Supreme Court,2009,,,,,,
Consuelo M Mallafre,Supreme Court Justice,,2022-01-01,2029-12-31,Kings County,Kings County Supreme Court,2022,,,,,,
Andrea Masley,Supreme Court Justice,,2017-01-01,2030-12-31,New York County,New York County Supreme Court,2017,,,,,,
Anthony Cannataro,Associate Judge COA,,2021-06-08,2035-06-07,New York County,Court of Appeals - Chambers,2018,,,,,,
Robert J Muller,Supreme Court Justice,,2023-01-01,2025-12-31,Warren County,Warren County Supreme Ct(M-B),2009,,,,,,
Christine M Clark,Supreme Court Justice,"ASC JUS, AP DIV",2013-01-01,2026-12-31,Schenectady County,Appellate Div 3rd Dept/Chamber,2013,,,,,,
Lewis J Lubell,Supreme Court Justice,,2020-01-01,2025-12-31,Westchester County,New York County Supreme Court,2006,,,,,,
David B Cohen,Supreme Court Justice,,2021-01-01,2034-12-31,New York County,New York County Supreme Court,2021,,,,,,
Paul Wooten,,"ASC JUS, AP DIV, TPCT",,,Kings County,Kings County Supreme Court,2008,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,
Denise A Hartman,Court of Claims Judge,SUP CT JUSTICE,2015-05-05,2022-12-31,Albany County,Albany County Supreme Court,2015,,,,,,
Martin Shulman,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2025-12-31,New York County,Appellate Division - 1st Dept,2006,,,,,,
Shawn T Kelly,Supreme Court Justice,,2020-01-01,2033-12-31,Bronx County,Bronx County Sup Ct Civil Term,2020,,,,,,
Jennifer G Schecter,Supreme Court Justice,,2020-01-01,2033-12-31,New York County,New York County Supreme Court,2020,,,,,,
Roger D Mcdonough,Court of Claims Judge,,2018-08-27,2027-08-26,Albany County,Albany County Supreme Court,2006,,,,,,
Leigh Cheng,Supreme Court Justice,,2023-01-01,2036-12-31,Queens County,Queens County Supreme Court,2023,,,,,,
Guy J Mangano Jr,Court of Claims Judge,SUP CT JUSTICE,2019-05-30,2028-05-29,Kings County,Kings County Supreme Court,2000,,,,,,
Denise Johnson,Supreme Court Justice,,2023-01-01,2036-12-31,Queens County,Queens County Supreme Civil,2023,,,,,,
Thomas P Zugibe,,,2019-01-01,2023-12-31,Rockland County,Rockland County Supreme Court,2019,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,
Catherine C Schaewe,Court of Claims Judge,,2014-06-03,2023-06-02,Broome County,Court of Claims,2006,,,,,,
Ulysses B Leverett,Supreme Court Justice,,2018-01-01,2025-12-31,Queens County,Queens County Supreme Court,2018,,,,,,
Mark L Powers,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2025-12-31,Schenectady County,Schenectady County Supreme Ct,2017,,,,,,
Melissa Dejesus,Court of Claims Judge,,2024-06-06,2033-03-31,Kings County,Kings County Supreme Court,2024,,,,,,
Maxwell T Wiley,Court of Claims Judge,SUP CT JUSTICE,2018-08-27,2026-12-31,New York County,New York County Supreme Ct/CRM,2003,,,,,,
David J Kirschner,Supreme Court Justice,,2022-01-01,2033-12-31,Queens County,Queens County Supreme Court,2022,,,,,,
Anar Rathod Patel,Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,New York County,Westchester County Supreme Ct,2022,,,,,,
Caitlin Halligan,Associate Judge COA,,2023-04-19,2036-12-31,Albany County,Court of Appeals - Chambers,2023,,,,,,
Rachel Tanguay,Supreme Court Justice,,2025-01-01,2038-12-31,Rockland County,Rockland County Supreme Court,2025,,,,,,
David Fried,Court of Claims Judge,,2023-06-23,2031-12-31,Rockland County,Office of Court Administration,2023,,,,,,
Robert R Reed,Supreme Court Justice,,2017-01-01,2030-12-31,New York County,New York County Supreme Court,2017,,,,,,
Rowan Wilson,Chief Judge COA,,2023-04-18,2030-12-31,New York County,Court of Appeals - Chambers,2017,,,,,,
Lumarie Maldonado,Supreme Court Justice,,2025-01-01,2038-12-31,Queens County,New York County Supreme Court,2025,,,,,,
Ramon E Rivera,Court of Claims Judge,,2021-07-07,2023-07-31,Monroe County,Court of Claims,2021,,,,,,
Javier Vargas,Court of Claims Judge,,2024-04-01,2033-03-31,New York County,Court of Claims,2022,,,,,,
Brett Broge,Supreme Court Justice,,2025-01-01,2038-12-31,Orange County,,2025,,,,,,
Chris Ann Kelley,Court of Claims Judge,SUP CT JUSTICE,2018-06-20,2022-12-31,Suffolk County,Suffolk County Supreme Court,2018,,,,,,
Elizabeth A Taylor,Supreme Court Justice,,2019-01-01,2032-12-31,Bronx County,Bronx County Sup Ct Civil Term,2019,,,,,,
